Token ID,Owner Address,Attribute role,Attribute luck,Attribute head,Attribute upperbody,Attribute lowerbody,Attribute face,Attribute figure,Attribute skin,Attribute bg,Attribute expression,Attribute skill 1,Attribute skill 2,Attribute power,Attribute token id,Attribute star,Attribute level,Attribute hatch num,Attribute vitality,Attribute free chance,Attribute used hatch num,Attribute mood
11,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,581,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,,Sky Pop,Grey,,Increase win rate in Knock-out Mode in percentage,Increase Coins earned from Team Mode in percentage,610,11,2,30,4/4,100,3/3,,
12,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,132,Dreadlocks,,,Dali-style beard,,Forgiving Claude,Grey,,,,,,,,,,,,
13,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,134,Antler Straw Hat,,Hippie Pants,,,Ocean Bill Duck,Blue,,Increase win rate in Guardian Scene in percentage,,380,13,1,15,2/2,46,3/3,,
14,0xeE1A4667C02CF143F79e8F3F4a62645BCFb1ADa0,Bill Duck,418,Quiff,Captain's Uniform,Exclusive Boots,Captain's Beard,Heart,Ocean Bill Duck,Orange,,,,,,,,,,,,
15,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,322,Red Boxing Helmet,Fish Bikini,Red Sneaker,Flower Hairpin,Shy Face,Gentle Ashe,Orange,,Increase power in percentage with all duck characters,Increase Coins earned from Knock-out Mode in percentage,435,15,1,30,4/4,94,3/3,,
16,0x145c692ea0B7D8dD26F0eD6230b2fC6c44EffdA1,Pop,342,Martin's Antenna,Colorful Top,Colorful Pants,,Lower Eye Lashes,Sky Pop,Grey,,,,,,,,,,,,
17,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,112,Grass,Star Backpack,Yellow Slipper,Cardboard mask,,,Bluish Grey,,Increase basic power in value,Increase win rate in Multiple-player matches in percentage,473,17,1,20,2/2,52,3/3,,
18,0x8f2Dc7f22BdC1dEF0bBa817530b240d1477b1B92,Patty,24,,,,,,Gloomy Patty,Bluish Grey,,Increase Coins earned from Frigid Scene in percentage,Increase match revenue in percentage for each duck character in the team,520,18,1,30,2/2,100,,,
19,0x8f2Dc7f22BdC1dEF0bBa817530b240d1477b1B92,Pop,110,Nightcap,,Purple Slipper,,Lower Eye Lashes,Organic Pop,Grey,,Increase win rate in Team Mode in percentage,Increase power in percentage for each star character in the team,576,19,1,29,2/2,100,,,
20,0xbD0d80Dc04CCDA12DCa11F92868CfBb6f1f7ca5D,Claude,102,Dreadlocks,,,,Stubble,,Orange,,Increase win rate in Frigid Scene in percentage,Increase Coins earned from Horror Scene in percentage,339,20,1,20,2/2,82,3/3,,
21,0x30281e75f812C9AFB0e701D1aCDDaa8999999999,Claude,110,Devil's Horn,,Blue Sneaker,,Rainbow,Forgiving Claude,Bluish Grey,,,,,,,,,,,,
22,0x03276562f398c3Fa2a334Bcc9eCD1ffD1a222a55,Bill Duck,106,Antler Straw Hat,Shell Necklace,Purple Pnats,,,Evil Bill Duck,Blue,,,,,,,,,,,,
23,0x88482a8424AC03453E8cc83e59b4Cd9855d9C5EF,Pop,128,,Shell Necklace,Striped Pants,Sleeping Eye Mask,,Sky Pop,Bluish Grey,,,,,,,,,,,,
24,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,126,,Carton,Yellow Shorts,Cardboard mask,,Noble Patty,Grey,,Increase power in percentage for each dinosaur character in the team,Decrease match time in percentage,391,24,1,20,2/2,88,3/3,,
25,0xDb1e5634fca44EcD4d1c459E1eEf9E162Bfa11B0,Pop,581,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,,Sky Pop,Bluish Grey,,,,,,,,,,,,
26,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,126,Lantern Fish Hood,Bib,,,,,Grey,,Increase Coins earned from Sweet Scene in percentage,,462,26,1,18,2/2,88,0/3,,
27,0x37cB3D01C4a7E9212BbDEa90f7bCFf6b9754D030,Bill Duck,116,,Maple Leaf Jacket,Hippie Pants,,,Evil Bill Duck,Orange,,,,,,,,,,,,
28,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,441,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,Lower Eye Lashes,Sky Pop,Bluish Grey,,,,,,,,,,,,
29,0xB423f47C9E3f1e472A09d77A92734F166d15380a,Pop,76,,,Colorful Pants,,Lower Eye Lashes,,Blue,,,,,,,,,,,,
30,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,318,Bee Tentacles,Bee Top,Bee Bottom,,,Optimistic Ashe,Bluish Grey,,Increase basic power in value,Increase match revenue in percentage for each star character in the team,805,30,3,30,3/3,78,3/3,,
31,0x2A702660B3674B94F8c41A90fbcC822Cb464417b,Pop,80,,,Purple Slipper,,Upper Eye Lashes,Organic Pop,Grey,,,,,,,,,,,,
32,0x2A702660B3674B94F8c41A90fbcC822Cb464417b,Ashe,98,,Red Boxing Gloves,Red Sneaker,,,,Blue,,,,,,,,,,,,
33,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,658,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Flower Hairpin,Shy Face,Gentle Ashe,Grey,,Increase Coins earned from Frigid Scene in percentage,Increase power in percentage if all characters in the team are different,661,33,2,30,4/4,78,3/3,,
34,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,396,Viking Helmet,Viking Armor,Viking Boots,,Facial Design,Lava Patty,Grey,,Increase power in percentage if all characters in the team are different,Increase power in percentage if all characters in the team are different,680,34,2,30,3/3,100,3/3,,
35,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,378,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,,Organic Pop,Bluish Grey,,Decrease Coins used for upgrading in percentage,,342,35,1,19,3/3,,3/3,,
36,0xa998f315306c18fBD301d0f21a0C28780C6ADc7f,Patty,864,Skeleton Kerchief,Pirate Trenchcoat,Leather Boots,Goatee,,Lava Patty,Orange,,Increase power in percentage for each fish character in the team,Decrease match time in percentage,487,36,2,20,5/5,70,0/3,,
37,0xaE245cAb725cebB2CcFEb996718e63c7b98E5d1B,Claude,130,Dreadlocks,,Blue Sneaker,,Stubble,Excited Claude,Bluish Grey,,Increase win rate in Single-player matches in percentage,Increase match revenue in percentage for each star character in the team,576,37,2,23,2/2,76,0/3,,
38,0x9373Ac409790a484954EABB1d84bC2209334142F,Bill Duck,218,Hippie Helmet,Shell Necklace,Hippie Pants,,Heart,Ocean Bill Duck,Blue,,,,,,,,,,,,
39,0x9E6C393177534488A0A60c5d36FAB538aE155561,Claude,318,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Stubble,,Bluish Grey,,Increase experience value at the end of the match in percentage,,396,39,1,18,3/3,52,3/3,,
40,0x303F0704f63C202440eA5B0c97b082b49910183F,Pop,216,Martin's Antenna,Colorful Top,Purple Slipper,,Lower Eye Lashes,Organic Pop,Bluish Grey,,,,,,,,,,,,
41,0x41A7c6319cE6E2Ded52a4b98e07424E72B03d143,Patty,336,Skeleton Kerchief,Viking Armor,Viking Boots,Cardboard mask,Facial Design,Noble Patty,Bluish Grey,,Increase win rate in all game modes in percentage,Increase Coins earned from Guardian Scene in percentage,463,41,1,30,3/3,94,,,
42,0x5D22db0DDC365Dbdc0983441E2906D51855a142D,Claude,114,Boxing Helmet,,Blue Sneaker,,Stubble,,Grey,,,,,,,,,,,,
43,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,420,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Shy Face,Optimistic Ashe,Grey,,Increase win rate in Ancient Scene in percentage,Increase Coins earned from Joyous Scene in percentage,486,43,1,20,3/3,76,3/3,,
44,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,369,Viking Helmet,Viking Armor,Viking Boots,,Lightning,Lava Patty,Blue,,Increase basic power in percentage,Increase win rate in Casual Mode in percentage,702,44,2,30,3/3,100,3/3,,
45,0x5a7c36e8Fd2E57cFcbAF92925FB15FFAFa9dd9D5,Patty,392,Skeleton Kerchief,Pirate Trenchcoat,Viking Boots,Goatee,,Lava Patty,Grey,,,,,,,,,,,,
46,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,432,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,Lower Eye Lashes,,Orange,,Increase match revenue in percentage for each fish character in the team,Increase win rate in Guardian Scene in percentage,528,46,1,30,3/3,76,3/3,,
47,0x1228868225111eB897c4379D101714686385086d,Patty,327,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,,,Grey,,Increase Coins earned from Team Mode in percentage,,323,47,1,16,3,,,,40
48,0x3c70FF30C0b9dCF52379FB08A7438b138cf8fA7D,Patty,392,Skeleton Kerchief,Viking Armor,Leather Boots,Goatee,,Noble Patty,Bluish Grey,,Increase basic power in value,Increase win rate in Story Mode in percentage,385,48,1,22,5/5,88,,,
49,0xeE1A4667C02CF143F79e8F3F4a62645BCFb1ADa0,Claude,132,,Belt,Blue Shorts,Dali-style beard,Rainbow,Forgiving Claude,Bluish Grey,,,,,,,,,,,,
50,0x491BeFAC53aAc201E97Cd6F4C750e4A958d22D46,Claude,148,Devil's Horn,Blue Boxing,,,Rainbow,Excited Claude,Orange,,,,,,,,,,,,
51,0x3E7C3402cD14Bd4cC085f3FA5e3c8Ee696a5aC59,Claude,254,Dreadlocks,,Hip-Hop Sneakers,Awe-inspiring,Rainbow,Simplex Claude,Blue,,,,,,,,,,,,
52,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,142,Quiff,,Purple Pnats,,Tattoo,,Grey,,Increase win rate in Team Mode in percentage,Increase win rate in Knock-out Mode in percentage,479,52,1,20,2/2,52,3/3,,
53,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,226,Hippie Helmet,Hippie Vest,Purple Pnats,,Heart,Pink Bill Duck,Orange,,Increase power in percentage for each duck character in the team,Increase experience value at the end of the match in percentage,550,53,1,30,3/3,88,3/3,,
54,0x303F0704f63C202440eA5B0c97b082b49910183F,Claude,375,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Dali-style beard,Stubble,Excited Claude,Bluish Grey,,,,,,,,,,,,
55,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,208,Dreadlocks,Belt,Hip-Hop Sneakers,,Rainbow,Forgiving Claude,Grey,,Increase power in percentage for each cloud character in the team,Increase Coins earned from Team Mode in percentage,440,55,1,23,3/3,64,3/3,,
56,0x1C3e679896C23298c5360abe32bEB60dFd7912aC,Pop,318,Dome with Diamond,Gold Glitter,Striped Pants,Sleeping Eye Mask,Lower Eye Lashes,Desert Pop,Blue,,,,,,,,,,,,
57,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,148,,Pirate Trenchcoat,,,Lightning,Gloomy Patty,Bluish Grey,,Increase power in percentage if only one kind of character is in use,Increase win rate in Casual Mode in percentage,760,57,3,30,2/2,78,,,
58,0x303F0704f63C202440eA5B0c97b082b49910183F,Patty,230,Cow Horn Tiara,Viking Armor,Viking Boots,Cardboard mask,Lightning,Lava Patty,Bluish Grey,,,,,,,,,,,,
59,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,828,Skeleton Kerchief,Pirate Trenchcoat,Leather Boots,Goatee,,Gloomy Patty,Orange,,,,,,,,,,,,
60,0xca0Ca563a47B9041429E002f10f03F2eE04Ab64F,Pop,417,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Lower Eye Lashes,Desert Pop,Bluish Grey,,Increase Coins earned from Guardian Scene in percentage,Increase Coins earned from Joyous Scene in percentage,393,60,1,20,3/3,58,3/3,,
61,0xa212B79639CedF6E9D1b001caaFCc4882A0FB3D1,Patty,396,Viking Helmet,Viking Armor,Viking Boots,,Facial Design,Lava Patty,Blue,,Increase experience value at the end of the match in percentage,Increase Coins earned from Casual Mode in percentage,515,61,1,30,3/3,76,0/3,,
62,0x34543AA177d10f4507014409126E499E28Ac122D,Patty,248,Viking Helmet,Viking Armor,Yellow Slipper,Cardboard mask,Facial Design,Gloomy Patty,Orange,,,,,,,,,,,,
63,0x0d0bD6469BE80d57893cf1B21434936dfAA35319,Pop,150,Martin's Antenna,Shell Necklace,,,,Desert Pop,Grey,,,,,,,,,,,,
64,0xaE245cAb725cebB2CcFEb996718e63c7b98E5d1B,Patty,90,Cow Horn Tiara,Carton,,Cardboard mask,,,Blue,,Increase match revenue in percentage for each dinosaur character in the team,,280,64,1,16,2/2,76,3/3,,
65,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,250,Martin's Antenna,Colorful Top,Striped Pants,,,Desert Pop,Orange,,,,,,,,,,,,
66,0xaE245cAb725cebB2CcFEb996718e63c7b98E5d1B,Bill Duck,417,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,,,Grey,,Increase win rate in Frigid Scene in percentage,Increase Coins earned from Joyous Scene in percentage,457,66,1,25,3/3,64,3/3,,
67,0xC710B66759179066B0aD24be472c92180F366c33,Ashe,432,Bee Tentacles,Bee Top,Bee Bottom,Flower Hairpin,Arrow Face,,Orange,,Increase win rate in Horror Scene in percentage,Increase power in percentage for each star character in the team,460,67,1,24,3/3,88,,,
68,0x77072DDf3D199Bb7245eBC31438022807762DE47,Ashe,362,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Heart Glasses,Shy Face,Gentle Ashe,Grey,,Increase Coins earned from Sweet Scene in percentage,,326,68,1,14,4,,,,46
69,0xa77fab26B314A0f0722CE4663E85Ad6519BFD2a1,Bill Duck,244,Hippie Helmet,Hippie Vest,Red slippers,,Tattoo,Pink Bill Duck,Bluish Grey,,,,,,,,,,,,
70,0xf14bD22049DCBf405BEB43B12BCbB7223615812c,Ashe,94,,,Bee Bottom,,,Intellectual Ashe,Bluish Grey,,,,,,,,,,,,
71,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,336,Bee Tentacles,Fish Bikini,Lantern Fish Tail,Heart Glasses,,Gentle Ashe,Orange,,Increase Coins earned from Casual Mode in percentage,Increase Coins earned from Horror Scene in percentage,553,71,1,23,4/4,88,3/3,,
72,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,641,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Stubble,Forgiving Claude,Bluish Grey,,Increase Coins earned from Team Mode in percentage,Increase match revenue in percentage for each star character in the team,553,72,2,28,4/4,78,3/3,,
73,0xd367CAa72C8D0746a3385d86fE85E89BD5c33A5c,Bill Duck,398,Parrot Tricorne,Captain's Uniform,Hippie Pants,Rock Shades,Heart,Ocean Bill Duck,Orange,,Increase power in percentage for each fish character in the team,Increase match revenue in percentage for each cloud character in the team,464,73,1,26,5/5,64,3/3,,
74,0x4d14FAd9842a0a30843eF548685B90580e489Dc3,Claude,236,Dreadlocks,Hip Hop Jacket,,Dali-style beard,Stubble,Simplex Claude,Orange,,,,,,,,,,,,
75,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,90,Cow Horn Tiara,,Viking Boots,,,,Blue,,,,,,,,,,,,
76,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,262,Martin's Antenna,Striped Top,Colorful Pants,Golden Beard,,,Grey,,,,,,,,,,,,
77,0x28337780ec1283FEdA5072Ef6190b47CAed6eF9a,Patty,226,Viking Helmet,Viking Armor,,Goatee,,,Bluish Grey,,,,,,,,,,,,
78,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Ashe,224,Flower,Bee Top,Bee Bottom,Flower Hairpin,,,Bluish Grey,,Increase power in percentage with all star characters in percentage,Increase Coins earned from Joyous Scene in percentage,479,78,1,30,3/3,100,0/3,,
79,0x583cBdcAD3e8C077B97Ec67418FaDa2bD471A439,Patty,112,,,Leather Boots,Cardboard mask,,,Bluish Grey,,,,,,,,,,,,
80,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,136,Nightcap,Shell Necklace,Colorful Pants,,Upper Eye Lashes,,Grey,,Increase Coins earned from Frigid Scene in percentage,Increase power in percentage for each dinosaur character in the team,324,80,1,20,2/2,100,3/3,,
81,0x83E48FE95c62fE9028e5Cfe0f5d226f8CbAEf364,Pop,72,,,Purple Slipper,,Upper Eye Lashes,Sky Pop,Orange,,,,,,,,,,,,
82,0xcB305e31d605dF759728c7C431fefc6E94E14710,Claude,320,Dreadlocks,Blue Boxing,Tentacle Feet,Awe-inspiring,,Simplex Claude,Bluish Grey,,,,,,,,,,,,
83,0x088771a64D950229020D91513A071F3429944261,Claude,342,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Rainbow,Excited Claude,Grey,,,,,,,,,,,,
84,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,264,Hippie Helmet,Hippie Vest,Red slippers,Captain's Beard,,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
85,0x770e492103a0d673Df019EB16b4a500267213851,Patty,534,Viking Helmet,Viking Armor,Viking Boots,Goatee,Facial Design,Noble Patty,Grey,,,,,,,,,,,,
86,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,196,,Viking Armor,Viking Boots,,Facial Design,Lava Patty,Blue,,Increase power in percentage if only one kind of character is in use,Increase basic power in value,386,86,1,21,3/3,88,3/3,,
87,0x4c81293FD449099DcfCEdcC21a4B1993aFd9F0d4,Patty,402,Viking Helmet,Pirate Trenchcoat,Leather Boots,Goatee,,Noble Patty,Orange,,Increase experience value at the end of the match in percentage,,294,87,1,10,5/5,40,3/3,,
88,0x297D749F61AE31d726236aEa0FC027791F8ccB1e,Bill Duck,406,Parrot Tricorne,Captain's Uniform,Hippie Pants,Rock Shades,Tattoo,Pink Bill Duck,Bluish Grey,,,,,,,,,,,,
89,0xeE1A4667C02CF143F79e8F3F4a62645BCFb1ADa0,Claude,342,Dreadlocks,Tentacle Skirt,Hip-Hop Sneakers,Awe-inspiring,Rainbow,Simplex Claude,Bluish Grey,,,,,,,,,,,,
90,0x038C395ea00d65A6234a4C34d8006a37Bd7a3E6A,Claude,658,Wide-mouth Kraken,Tentacle Skirt,Tentacle Feet,Awe-inspiring,Stubble,Simplex Claude,Grey,,,,,,,,,,,,
91,0xC8485F90e8a8638450eE9B3d551594E9FcBD6aF4,Patty,70,Grass,,Yellow Slipper,,,,Orange,,,,,,,,,,,,
92,0x5Bf36c14ACB0cea8C905906E101ad243472a67DA,Pop,136,Striped Cap,,,,Lower Eye Lashes,Desert Pop,Bluish Grey,,,,,,,,,,,,
93,0x9E6C393177534488A0A60c5d36FAB538aE155561,Pop,298,Dome with Diamond,Colorful Top,Colorful Pants,Sleeping Eye Mask,Upper Eye Lashes,Desert Pop,Blue,,Increase power in percentage for each fish character in the team,,338,93,1,13,3/3,76,3/3,,
94,0xec12b192EF10808eEC03Ba28e23C500f06aA0471,Ashe,581,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Flower Hairpin,Shy Face,,Blue,,Increase Coins earned from Sweet Scene in percentage,Increase win rate in all game modes in percentage,826,94,3,30,4/4,34,0/3,,
95,0x2d5daDB01A0FeC9449AeF1FB41192f589B6130A1,Pop,92,,Shell Necklace,Purple Slipper,,Upper Eye Lashes,Sky Pop,Grey,,,,,,,,,,,,
96,0xd394c18B2877b982bF5b6821747f5485DA8beA89,Pop,581,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,Upper Eye Lashes,,Grey,,,,,,,,,,,,
97,0x1930d8BD2728bF64425A485D6dDaF860a4799a2d,Ashe,332,Lantern Fish Hood,Fish Bikini,Red Sneaker,Flower Hairpin,Shy Face,Gentle Ashe,Grey,,,,,,,,,,,,
98,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,70,,Star Backpack,,,Lightning,Gloomy Patty,Grey,,Increase win rate in Casual Mode in percentage,Increase power in percentage with all cloud characters,418,98,1,20,2/2,,3/3,,
99,0x8b3df9b4C1C1843C05ec58Ac438D142C107D77e8,Patty,52,,,Yellow Slipper,Cardboard mask,,,Bluish Grey,,,,,,,,,,,,
100,0x8392684fD6cdFDEB7f436F8E89784044052270e1,Pop,148,Nightcap,Striped Top,,,Lower Eye Lashes,Sky Pop,Orange,,,,,,,,,,,,
101,0x8b3df9b4C1C1843C05ec58Ac438D142C107D77e8,Patty,106,Cow Horn Tiara,,,,Facial Design,Lava Patty,Bluish Grey,,,,,,,,,,,,
102,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,196,Martin's Antenna,Colorful Top,Striped Pants,,,,Blue,,Increase win rate in Single-player matches in percentage,Increase power in percentage for each dinosaur character in the team,790,102,3,30,3/3,70,3/3,,
103,0xB73DA07C362B29033F97B826A3FACD8A7cF48719,Patty,226,Cow Horn Tiara,Viking Armor,Viking Boots,,Facial Design,Lava Patty,Grey,,,,,,,,,,,,
104,0x94aC117fAE8664fdf42e1b7Ab0b6663Ea5bb19f3,Patty,316,Viking Helmet,Viking Armor,Yellow Shorts,Goatee,Facial Design,Lava Patty,Grey,,Increase power in percentage with all cloud characters,Increase power in percentage for each star character in the team,427,104,1,29,3/3,64,0/3,,
105,0x088771a64D950229020D91513A071F3429944261,Bill Duck,446,Parrot Tricorne,Captain's Uniform,Hippie Pants,Captain's Beard,Tattoo,Ocean Bill Duck,Bluish Grey,,,,,,,,,,,,
106,0xA6E5afa52E57B7da2995271f892f994d495eDC0D,Pop,483,Martin's Antenna,Colorful Top,Colorful Pants,Golden Beard,Upper Eye Lashes,Organic Pop,Orange,,,,,,,,,,,,
107,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,212,Red Boxing Helmet,Bee Top,Bee Bottom,,Arrow Face,,Bluish Grey,,Increase win rate in Single-player matches in percentage,Increase win rate in Sweet Scene in percentage,586,107,1,30,3/3,40,3/3,,
108,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,256,Antler Straw Hat,Hippie Vest,Hippie Pants,,Tattoo,Ocean Bill Duck,Orange,,Increase match revenue in percentage for each star character in the team,Increase win rate in Ancient Scene in percentage,605,108,1,30,3/3,88,3/3,,
109,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,144,Dreadlocks,Belt,Blue Sneaker,,Rainbow,,Grey,,,,,,,,,,,,
110,0x49C233D25768E462F0474390F653BAF40DD592b2,Claude,128,,Tentacle Skirt,,Dali-style beard,,,Orange,,,,,,,,,,,,
111,0x491BeFAC53aAc201E97Cd6F4C750e4A958d22D46,Claude,346,Wide-mouth Kraken,Blue Boxing,Tentacle Feet,Awe-inspiring,Stubble,Forgiving Claude,Bluish Grey,,,,,,,,,,,,
112,0x94aC117fAE8664fdf42e1b7Ab0b6663Ea5bb19f3,Pop,417,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Upper Eye Lashes,Desert Pop,Bluish Grey,,Increase Coins earned from Sweet Scene in percentage,Increase Coins earned from Joyous Scene in percentage,483,112,1,30,3/3,64,0/3,,
113,0xDcda0E83d73eAE94EC711fbb3A0A6852e8d9eF64,Pop,112,,Gold Glitter,,,,Sky Pop,Blue,,,,269,113,1,4,2/2,76,,,
114,0x552704Fc0383a0cD962120eCE66833da088f45c5,Bill Duck,126,,,Red slippers,Rock Shades,,Ocean Bill Duck,Blue,,,,,,,,,,,,
115,0xa9183E4681C6ed9E67CC1f8888E39b6af21818A7,Bill Duck,132,Antler Straw Hat,,,Rock Shades,Heart,Evil Bill Duck,Orange,,,,,,,,,,,,
116,0xa4187BDD66675e32E73563540A03A7D5310FFC92,Ashe,220,,Bee Top,Bee Bottom,Flower Hairpin,Shy Face,,Orange,,,,,,,,,,,,
117,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,492,Viking Helmet,Viking Armor,Viking Boots,Goatee,Facial Design,Gloomy Patty,Bluish Grey,,Increase win rate in Joyous Scene in percentage,Increase win rate in Casual Mode in percentage,553,117,1,30,3/3,100,3/3,,
118,0x491BeFAC53aAc201E97Cd6F4C750e4A958d22D46,Patty,288,,Viking Armor,Viking Boots,Goatee,Facial Design,Noble Patty,Grey,,,,,,,,,,,,
119,0xa998f315306c18fBD301d0f21a0C28780C6ADc7f,Patty,426,Viking Helmet,Pirate Trenchcoat,Leather Boots,Goatee,Facial Design,Noble Patty,Grey,,Increase power in percentage with all dinosaur characters,Increase power in percentage with all cloud characters,503,119,1,30,5/5,76,3/3,,
120,0x583cBdcAD3e8C077B97Ec67418FaDa2bD471A439,Pop,98,Striped Cap,,Purple Slipper,,,,Blue,,,,,,,,,,,,
