Token ID,Owner Address,Attribute collection,Attribute clan,Attribute tier,Attribute color theme,Attribute emissive theme,Attribute animation,Attribute vfx color,Attribute vfx type,Attribute head,Attribute neck,Attribute body,Attribute tail,Attribute wings,Attribute arms,Attribute legs,Attribute revealed
15,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Lolita Jam,Dog Play,Sky View,Self Aura,Common,Uncommon,Common,Uncommon,Common,Common,Common,true
16,0xC236123DfaEb468246E909382c92Cb457fE19366,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Elite,Dog Play,Lite Burst,Self Aura,Epic,Rare,Epic,Rare,Common,Common,Common,true
17,0x6681EcCE482567CC403b203f4d310deB4D7831D5,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Sun Spots,Dog Play,Dusk,Self Aura,Common,Common,Common,Common,Common,Common,Common,true
18,0xb47EC855Db3f5566C41D9fF9ca53032b01ef0C73,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
19,0xbDf9d2031176E9A2911F7c04c1bE0ec889c05D06,Spirit Guardian Edition 01,Grimbone,Lord,Black and Gold,Hot Orange,Dragon Roar,Crimson,Self Aura,Clan,Clan,Clan,Clan,Clan,Clan,Clan,true
20,0xae3F3beaEF416F59A203b3f595543C8ef9E02Dca,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Mime Burst,Yultide Up,Dog Play,Sky View,Zero Soul,Common,Rare,Common,Common,Common,Epic,Common,true
21,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Elite,Dog Play,Scared Forest,Try Soul,Common,Rare,Epic,Uncommon,Epic,Rare,Common,true
22,0x564981870A41809D66eE2D664E34EC898246205C,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dog Play,Aura Green,Self Aura,Common,Clan,Epic,Epic,Rare,Epic,Common,true
23,0x8Dd7241DC1B5727dbFA4463B58ABF57Ba9B9793F,Spirit Guardian Edition 01,Emerald Hand,Officer,Emerald Palace,Elite,Dragon Roar,Royal Gem,Zero Soul,Common,Rare,Clan,Common,Common,Clan,Uncommon,true
24,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Yultide Up,Dog Play,Burst Orange,Zero Soul,Common,Uncommon,Uncommon,Common,Clan,Epic,Rare,true
25,0x92f75555b1D4B193af03A02c787dA2A92B080197,Spirit Guardian Edition 01,Grimbone,Adept,Dark Side,Dusk,Dog Play,Aura Green,Try Soul,Uncommon,Common,Common,Common,Epic,Common,Clan,true
26,0x759C65CC7d062615dC2a8bCDeB25e6B06e7D1912,Spirit Guardian Edition 01,Emerald Hand,Grand Master,Elite Corps,Aura,Dog Play,Solar,Try Soul,Uncommon,Common,Uncommon,Rare,Common,Common,Rare,true
27,0x4E60AC71bA8ed898Ff9C7AAb244E0830250fd7D0,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Aquamarine Chill,Dragon Roar,Ice Light,Self Aura,Common,Common,Uncommon,Common,Clan,Common,Rare,true
28,0x8BeA861088dB1cD64FE92145542C8ba9F59E9665,Spirit Guardian Edition 01,Emerald Hand,Grand Master,Emerald Palace,Elite,Dragon Roar,Scared Forest,Self Aura,Uncommon,Common,Epic,Uncommon,Common,Common,Common,true
29,0x59c73178ADF32eB3CCBEB30e057aF18cfE6C1946,Spirit Guardian Edition 01,Grimbone,Grand Master,Sun Rise,Sun Spots,Dog Play,Magic Hour,Zero Soul,Rare,Common,Epic,Uncommon,Rare,Common,Common,true
30,0xe28A9D775c260a1dADD8DdaDf28B61d59287A4d3,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Lolita Jam,Dog Play,Sky View,Zero Soul,Common,Epic,Epic,Uncommon,Rare,Uncommon,Uncommon,true
31,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Spirit Guardian Edition 01,Emerald Hand,Officer,Elegance,Gem Stone,Dog Play,Sky Rise,Zero Soul,Epic,Uncommon,Common,Common,Uncommon,Rare,Common,true
32,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Blue Blaze,Dog Play,Aura Green,Zero Soul,Rare,Rare,Uncommon,Rare,Common,Uncommon,Epic,true
33,0xec81e4F0263859198fa258e40BFa317018D68B58,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Yultide Up,Dragon Roar,Sun Up,Zero Soul,Common,Common,Common,Common,Uncommon,Common,Clan,true
34,0x25232cBF73F9Cc7c6648816Ca22aFBCE7FB16Bb7,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
35,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Aura,Dragon Roar,Emerald,Zero Soul,Uncommon,Uncommon,Rare,Common,Common,Common,Common,true
36,0xa160379cDC3C9f0BD9eC22E1cAa3334b30B94822,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
37,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Sun Spots,Dog Play,Dusty Orange,Try Soul,Epic,Uncommon,Common,Uncommon,Uncommon,Common,Uncommon,true
38,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Mime Burst,Aquamarine Chill,Dragon Roar,Sun Up,Try Soul,Common,Common,Rare,Common,Common,Common,Uncommon,true
39,0x23A98624b714f38Cf0a1Fab27A8D209dE60149A9,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Astral,Dog Play,Scared Forest,Zero Soul,Common,Common,Rare,Common,Rare,Uncommon,Common,true
40,0xC0E12721B5D111AdE1043d8f95b4B5297ecaB50D,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
41,0xd9a7616F88e8f7cAa62cfE061BC61C5Dd1C61641,Spirit Guardian Edition 01,Grimbone,Grand Master,Scorched Earth,Blue Blaze,Dog Play,Hazy Blaze,Self Aura,Rare,Rare,Common,Uncommon,Common,Rare,Epic,true
42,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Aura,Dog Play,Royal Gem,Try Soul,Epic,Common,Rare,Common,Uncommon,Uncommon,Rare,true
43,0x4B18CEBEB9797Ea594b5977109cc07b21c37E8c3,Spirit Guardian Edition 01,Grimbone,Master,Scorched Earth,Dusk,Dog Play,Crimson,Try Soul,Common,Common,Common,Common,Uncommon,Rare,Common,true
44,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Astral,Dog Play,Soul Yellow,Zero Soul,Clan,Common,Epic,Rare,Uncommon,Rare,Common,true
45,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Lolita Jam,Dog Play,Sun Up,Zero Soul,Uncommon,Rare,Uncommon,Rare,Clan,Uncommon,Common,true
46,0x7d252c0d16d9e7673F0DE5943475e297A538781e,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Prism,Dog Play,Sky Rise,Zero Soul,Epic,Common,Rare,Clan,Common,Uncommon,Uncommon,true
47,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Dusk,Dragon Roar,Aura Green,Zero Soul,Clan,Rare,Common,Common,Common,Common,Common,true
48,0xcCA1Ba8B527376f73F6F82327F80B54A5752aB0B,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Lolita Jam,Dog Play,Dull Blue,Self Aura,Common,Common,Uncommon,Common,Common,Clan,Common,true
49,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Astral,Dog Play,Royal Gem,Zero Soul,Clan,Common,Rare,Rare,Rare,Common,Common,true
50,0xd502f0842657e29DFADD6747C9f232F37B3128D7,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Saphire Star,Dog Play,Sun Up,Zero Soul,Uncommon,Rare,Rare,Common,Common,Uncommon,Epic,true
51,0xB502A93A2537eF3b9C7F7cE4C4fAabf99b61035d,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dog Play,Magic Hour,Try Soul,Uncommon,Common,Common,Uncommon,Epic,Uncommon,Uncommon,true
52,0x7C3821B5DA9004a64d50c056dD2A31d2a22A3b66,Spirit Guardian Edition 01,Grimbone,Officer,Sun Rise,Blue Blaze,Dog Play,Magic Hour,Try Soul,Common,Clan,Common,Rare,Rare,Uncommon,Common,true
53,0x29274e82E47aA5f63452cB4A66eddD4b7B953308,Spirit Guardian Edition 01,Bubblegum Violence,Master,Harlequin Tonic,Lolita Jam,Dragon Roar,Sky View,Zero Soul,Common,Uncommon,Epic,Uncommon,Uncommon,Uncommon,Uncommon,true
54,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Astral,Dog Play,Royal Gem,Self Aura,Uncommon,Uncommon,Epic,Clan,Common,Common,Uncommon,true
55,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Elite,Dragon Roar,Royal Gem,Try Soul,Rare,Epic,Rare,Rare,Epic,Rare,Uncommon,true
56,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Sun Rise,Dusk,Dog Play,Dusty Orange,Try Soul,Uncommon,Rare,Common,Uncommon,Common,Common,Uncommon,true
57,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Yultide Up,Dragon Roar,Sun Up,Zero Soul,Rare,Clan,Common,Rare,Uncommon,Common,Rare,true
58,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,Spirit Guardian Edition 01,Emerald Hand,Master,Elegance,Elite,Dragon Roar,Royal Gem,Try Soul,Rare,Common,Uncommon,Uncommon,Common,Rare,Epic,true
59,0xCec0A95C1003e0F9E8D9fD153b02269faCF292e4,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
60,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Yultide Up,Dog Play,Lite Lime,Self Aura,Common,Common,Common,Common,Common,Rare,Common,true
61,0x6bf4593Fd34ed0358D20db59552A9FA81A294f32,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
62,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Aura,Dog Play,Sky Rise,Self Aura,Common,Uncommon,Common,Uncommon,Common,Rare,Uncommon,true
63,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Mime Burst,Lolita Jam,Dog Play,Ice Light,Zero Soul,Epic,Rare,Common,Rare,Rare,Epic,Uncommon,true
64,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dragon Roar,Lite Lime,Zero Soul,Common,Clan,Uncommon,Rare,Uncommon,Epic,Uncommon,true
65,0xD29BE4885E53BB300a2fdcC6B4793AEb3ef90da2,Spirit Guardian Edition 01,Grimbone,Grand Master,Sun Rise,Dusk,Dragon Roar,Aura Green,Try Soul,Common,Common,Uncommon,Common,Common,Rare,Rare,true
66,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Aura,Dog Play,Scared Forest,Try Soul,Rare,Common,Uncommon,Epic,Common,Rare,Common,true
67,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Spirit Guardian Edition 01,Grimbone,Officer,Scorched Earth,Dusk,Dog Play,Dusty Orange,Zero Soul,Rare,Uncommon,Common,Common,Epic,Uncommon,Rare,true
68,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Prism,Dog Play,Emerald,Zero Soul,Uncommon,Epic,Rare,Common,Uncommon,Epic,Rare,true
69,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Mime Burst,Lolita Jam,Dog Play,Sky View,Try Soul,Common,Epic,Common,Common,Rare,Common,Common,true
70,0x2Fe3861c9AddbBEbeA06ecfEd5B0E30998Ff2323,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Blue Blaze,Dog Play,Noon Sun,Try Soul,Uncommon,Common,Uncommon,Common,Common,Common,Rare,true
71,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Aura,Dog Play,Sky Rise,Zero Soul,Epic,Common,Uncommon,Common,Uncommon,Uncommon,Common,true
72,0xe9E56bD8e32102f6F363FAD70C28938110A3C9d1,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
73,0xB5C6cc246FB253d338722931c7b058A222574231,Spirit Guardian Edition 01,Emerald Hand,Officer,Elegance,Aura,Dragon Roar,Scared Forest,Self Aura,Common,Uncommon,Rare,Rare,Uncommon,Common,Common,true
74,0xC12bd04ee20E014E3E064F434f68401931c93Cf3,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Hot Orange,Dragon Roar,Dusty Orange,Zero Soul,Rare,Uncommon,Rare,Uncommon,Common,Common,Uncommon,true
75,0xa90C1A95c16BC1509C8bd62F37dEE37349246789,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Lolita Jam,Dragon Roar,Sky View,Try Soul,Uncommon,Rare,Uncommon,Common,Common,Uncommon,Uncommon,true
76,0xE836935d1Ec507D13A94e8d0a7461AB371Dd5f6E,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Elite,Dragon Roar,Solar,Zero Soul,Epic,Epic,Uncommon,Common,Common,Common,Common,true
77,0x1E6d660B49C488685d977AF6ea130DfD929E093A,Spirit Guardian Edition 01,Grimbone,Officer,Scorched Earth,Dusk,Dog Play,Aura Green,Try Soul,Rare,Common,Common,Common,Epic,Common,Uncommon,true
78,0xc31d3D387a203F428A2dbDC108A66BE694ee0072,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
79,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Dull Blue,Self Aura,Uncommon,Clan,Common,Common,Common,Epic,Common,true
80,0x3e13FA90a9C93E977436E6BEEdfEa34929905208,Spirit Guardian Edition 01,Emerald Hand,Officer,Emerald Palace,Elite,Dog Play,Sky Rise,Try Soul,Uncommon,Uncommon,Rare,Uncommon,Clan,Uncommon,Common,true
81,0x61fb0cc953D85cd5944E1c609Aa8da889cE0Ab76,Spirit Guardian Edition 01,Grimbone,Officer,Sun Rise,Sun Spots,Dog Play,Dusk,Try Soul,Epic,Uncommon,Common,Common,Common,Epic,Uncommon,true
82,0x9dB7bbB19f5Cfe7E4a4240F6948B4A5D17beE22B,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
83,0xB13a9696394c782933cB664674dAF861A42A5e1e,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
84,0x761dFa09188424D1Ea67073595aD74A276F7efF3,Spirit Guardian Edition 01,Bubblegum Violence,Grand Master,Harlequin Tonic,Lolita Jam,Dog Play,Sky View,Try Soul,Clan,Rare,Uncommon,Uncommon,Common,Common,Uncommon,true
85,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Faded,Dog Play,Dusk,Try Soul,Rare,Common,Common,Epic,Common,Uncommon,Common,true
86,0x1e8564fA0b3b91c1e4D5725704Da5c8Ee557B47c,Spirit Guardian Edition 01,Bubblegum Violence,Master,Mime Burst,Yultide Up,Dog Play,Sky View,Try Soul,Epic,Common,Uncommon,Rare,Common,Common,Common,true
87,0xDe705161d12627BFb4e67253f3bd6522A854b0ee,Spirit Guardian Edition 01,Emerald Hand,Officer,Elite Corps,Elite,Dog Play,Royal Gem,Self Aura,Uncommon,Uncommon,Rare,Uncommon,Common,Common,Uncommon,true
88,0xb165B418f2773D12557B8023583915D54DE09b80,Spirit Guardian Edition 01,Emerald Hand,Officer,Elite Corps,Astral,Dog Play,Royal Gem,Zero Soul,Rare,Clan,Rare,Common,Common,Uncommon,Uncommon,true
89,0xB9366608e2F647F1C7da2F94Eb608C95329e0bF5,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
90,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Sun Spots,Dog Play,Aura Green,Self Aura,Common,Common,Rare,Uncommon,Common,Common,Common,true
91,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Sun Spots,Dog Play,Dusk,Try Soul,Common,Rare,Common,Common,Uncommon,Uncommon,Common,true
92,0x0D176981c09C0520C3698FB14a55b840c443b9db,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Yultide Up,Dragon Roar,Dull Blue,Try Soul,Common,Rare,Rare,Common,Uncommon,Common,Uncommon,true
93,0x600D2a75497954355D199e1437A848573F9C6254,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
94,0x66a45Fe0E26bCdA49a21490bA03cE6845238Cb07,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
95,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Dark Side,Dusk,Dog Play,Dirty Yellow,Zero Soul,Common,Common,Common,Common,Clan,Uncommon,Common,true
96,0x5DFcADCf4Ce26e146e7aeA33dE37eD9EB8451016,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Aquamarine Chill,Dog Play,Sun Up,Zero Soul,Common,Common,Epic,Common,Uncommon,Common,Common,true
97,0x98f09D097f3680a15666038e3Aa1f71b232Eab88,Spirit Guardian Edition 01,Grimbone,Master,Dark Side,Faded,Dog Play,Dusk,Self Aura,Uncommon,Common,Common,Common,Rare,Epic,Uncommon,true
98,0x98f09D097f3680a15666038e3Aa1f71b232Eab88,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Lolita Jam,Dog Play,Lite Lime,Zero Soul,Common,Rare,Uncommon,Uncommon,Uncommon,Common,Common,true
99,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Spirit Guardian Edition 01,Emerald Hand,Officer,Elite Corps,Aura,Dragon Roar,Burst Blue,Self Aura,Common,Uncommon,Uncommon,Common,Common,Clan,Epic,true
100,0x2a68d838Bb9f1afb4A8Bbd7661E3CAC810034d5C,Spirit Guardian Edition 01,Grimbone,Master,Scorched Earth,Sun Spots,Dragon Roar,Magic Hour,Try Soul,Clan,Uncommon,Common,Epic,Common,Rare,Common,true
101,0xAF4232bF2bD7cC64E8da136C77CdD86f3e2D845E,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Elite,Dog Play,Lite Burst,Self Aura,Common,Common,Uncommon,Common,Common,Epic,Uncommon,true
102,0xAF149cEd4d26Ef14AaeDd2d71f3BC5226101b089,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
103,0x6427F98cE63eb42Ce15Bc1dF8b94C55f3B791883,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Aquamarine Chill,Dog Play,Sky View,Self Aura,Common,Common,Common,Common,Rare,Common,Uncommon,true
104,0xA8063437489D12E211B941FCCb7AdB97Bc23140E,Spirit Guardian Edition 01,Grimbone,Master,Scorched Earth,Dusk,Dog Play,Dusk,Zero Soul,Common,Uncommon,Uncommon,Common,Epic,Epic,Common,true
105,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Gem Stone,Dragon Roar,Solar,Try Soul,Common,Epic,Common,Rare,Rare,Uncommon,Uncommon,true
106,0x6056265F0039283dcccA4053BdC2CD6Eed3C3EE2,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
107,0xca9A88758651Fb914AdF5F4AfA90C9Bb462c3183,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Blue Blaze,Dog Play,Aura Green,Self Aura,Common,Rare,Rare,Clan,Uncommon,Common,Uncommon,true
108,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,Spirit Guardian Edition 01,Emerald Hand,Officer,Emerald Palace,Elite,Dog Play,Sky Rise,Zero Soul,Common,Clan,Common,Common,Common,Uncommon,Common,true
109,0xc75C635aFCD9d1dDB113c41138329180bCbA5699,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Mime Burst,Saphire Star,Dog Play,Fuchsia Mix,Try Soul,Rare,Common,Uncommon,Clan,Common,Rare,Common,true
110,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,Spirit Guardian Edition 01,Emerald Hand,Grand Master,Emerald Palace,Elite,Dragon Roar,Royal Gem,Zero Soul,Common,Common,Common,Rare,Rare,Uncommon,Common,true
111,0x23238F4c1a2f0c8E8802de8f5D69Dcc8bE5fB96e,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Faded,Dog Play,Crimson,Try Soul,Uncommon,Rare,Rare,Common,Common,Uncommon,Rare,true
112,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Lolita Jam,Dog Play,Mint Teal,Zero Soul,Common,Common,Uncommon,Common,Uncommon,Uncommon,Uncommon,true
113,0x20bE438F8e7075Cca2D1dD3b8f857137BE0abe15,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
114,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Spirit Guardian Edition 01,Emerald Hand,Grand Master,Elite Corps,Astral,Dog Play,Royal Gem,Try Soul,Common,Rare,Common,Common,Uncommon,Uncommon,Common,true
115,0xE7bA9aC02e347bd77bB2e07745861f56C41cbA96,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dog Play,Aura Green,Zero Soul,Epic,Uncommon,Uncommon,Common,Uncommon,Common,Uncommon,true
116,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Gem Stone,Dog Play,Lite Burst,Try Soul,Uncommon,Common,Uncommon,Uncommon,Common,Uncommon,Rare,true
117,0xe5907a032cCbdbdd631270BdaeE5C6823FA0fA79,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Lolita Jam,Dog Play,Dull Blue,Zero Soul,Rare,Common,Common,Uncommon,Common,Common,Epic,true
118,0xbCaa963B23CfB85D89fF04088FAeee07b7992dD9,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Saphire Star,Dog Play,Mint Teal,Zero Soul,Common,Clan,Clan,Common,Common,Common,Rare,true
119,0xF618E8802e67214643495c54d6e3E401a600D2a1,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
120,0xDC4bc0Bf83781D94aBad2DE153D28e0EA172426A,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Sun Spots,Dog Play,Noon Sun,Zero Soul,Uncommon,Uncommon,Uncommon,Epic,Common,Rare,Uncommon,true
121,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Blue Blaze,Dog Play,Aura Green,Zero Soul,Rare,Rare,Common,Common,Rare,Rare,Uncommon,true
122,0x3B2fCF9F77D9dDBfd11c913a388325Cabb05C926,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Yultide Up,Dragon Roar,Sun Up,Self Aura,Epic,Uncommon,Rare,Uncommon,Epic,Rare,Epic,true
123,0x8a08DaA347e3B3B8373Fe86d5E49699c3Be5A247,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Aura,Dog Play,Sky Rise,Zero Soul,Uncommon,Clan,Rare,Uncommon,Common,Uncommon,Common,true
