Token ID,Owner Address,Attribute collection,Attribute clan,Attribute revealed,Attribute tier,Attribute appearance,Attribute color theme,Attribute animation,Attribute hair,Attribute hair color,Attribute skin tone,Attribute brow,Attribute brow detail,Attribute face,Attribute face detail,Attribute pupil,Attribute eye color,Attribute accessory,Attribute upper,Attribute lower,Attribute hands
18,0x1152348219aD272475c58da95D2DBb3bf64688b1,Pilot Edition 01,Grimbone,true,Adept,Female,Sun Rise,Bagua,Common,Green Means Go,Skin tone 02,Rare,01,Rare,05,Clan,Faded,Common,Common,Rare,Rare
19,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Clan,Dark Umber,Skin tone 02,Common,00,Rare,04,Common,Elite,Common,Clan,Rare,Rare
20,0xC92b5E19F4f781f3a72c0A59767b69E71c8DDaCE,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Tumblers Mule,Dance,Common,Jolt Lime,Skin tone 00,Common,00,Common,00,Common,Yuletide Up,Rare,Common,Common,Rare
21,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Rare,Silver,Skin tone 04,Common,00,Common,00,Rare,Dusk,Common,Common,Common,Clan
22,0xb4B905f45C433266F114FD0155bE0d53A38818c7,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Clan,Silver,Skin tone 04,Rare,01,Clan,00,Uncommon,Hot Orange,Rare,Clan,Rare,Clan
23,0x98cc5E5c2A2C2E1e7e1a414dA88a96E1624662A3,Pilot Edition 01,Emerald Hand,true,Master,Male,Emerald Palace,Scream,Clan,Noir,Skin tone 03,Rare,00,Common,00,Common,Astral,Clan,Rare,Common,Common
24,0x98cc5E5c2A2C2E1e7e1a414dA88a96E1624662A3,Pilot Edition 01,Bubblegum Violence,true,Master,Female,Tumblers Mule,Finger Gun,Common,Sand X,Skin tone 01,Clan,00,Common,00,Rare,Lolita Jam,Clan,Clan,Common,Rare
25,0xF9FF8979e016a2BC46d0c84140ae964521689BB2,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Clan,Ginger,Skin tone 00,Common,00,Rare,01,Rare,Sun Spots,Rare,Rare,Rare,Clan
26,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,Pilot Edition 01,Bubblegum Violence,true,Grand Master,Female,Tumblers Mule,Finger Gun,Rare,Jolt Lime,Skin tone 01,Rare,01,Rare,02,Common,Lolita Jam,Rare,Common,Common,Rare
27,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Common,Barren,Skin tone 04,Clan,01,Common,00,Common,Elite,Common,Common,Common,Common
28,0xf3179b00Dc5dF461A3a8214399075fd62870B104,Pilot Edition 01,Grimbone,true,Runner,Female,Sun Rise,Bagua,Clan,Crimson Locks,Skin tone 03,Common,01,Rare,04,Uncommon,Sun Spots,Rare,Rare,Common,Common
29,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Rare,Camo Green,Skin tone 03,Common,01,Rare,03,Common,Elite,Common,Common,Rare,Rare
30,0x513f21d8Ff0fbeDdb4684e4B86ab72b804Fffe04,Pilot Edition 01,Bubblegum Violence,true,Master,Female,Harlequin Tonic,Finger Gun,Clan,Sand X,Skin tone 03,Clan,01,Clan,00,Common,Lolita Jam,Rare,Common,Common,Rare
31,0x81EBe009F316e87138045B2310c64dfFC4743e72,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Rare,Green Means Go,Skin tone 01,Rare,01,Common,00,Common,Faded,Clan,Rare,Clan,Rare
32,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Mime Burst,Finger Gun,Common,Sky Green,Skin tone 00,Common,01,Common,00,Uncommon,Yuletide Up,Common,Rare,Common,Common
33,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Emerald Palace,Scream,Rare,Elegant Green,Skin tone 00,Common,00,Common,00,Common,Gem Stone,Common,Common,Common,Clan
34,0xB14686566B19A2c90Cb580856CA9D85D01A49Df8,Pilot Edition 01,Grimbone,false,,,,,,,,,,,,,,,,,
35,0x44365b44fb35f3e25859cE0644A8D8beC61df4B6,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Common,Toxic X,Skin tone 01,Rare,00,Common,00,Uncommon,Yuletide Up,Rare,Common,Clan,Common
36,0x27A427B510bA547cABfA9A96A1756a335096a6E4,Pilot Edition 01,Emerald Hand,true,Officer,Female,Elite Corps,March,Common,Dust,Skin tone 04,Common,01,Common,00,Rare,Astral,Rare,Common,Common,Common
37,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Common,Ginger,Skin tone 01,Rare,00,Common,00,Common,Blue Blaze,Common,Rare,Common,Rare
38,0x3188130a82f8F8eD5f08EB43f607D791C39751F8,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Harlequin Tonic,Finger Gun,Rare,Bubblegum Chew,Skin tone 01,Clan,00,Rare,04,Common,Yuletide Up,Common,Common,Rare,Clan
39,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Common,Noir,Skin tone 03,Clan,01,Common,00,Common,Gem Stone,Rare,Common,Common,Clan
40,0x1A18e2Eb5D13cdABc5b4A54D9ed4930C20564925,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Common,Dark Umber,Skin tone 00,Common,01,Common,00,Rare,Astral,Common,Rare,Common,Common
41,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Common,Bubblegum Chew,Skin tone 04,Common,01,Rare,04,Common,Lolita Jam,Common,Common,Common,Clan
42,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Pilot Edition 01,Grimbone,true,Lord,Female,Black and Gold,Bagua,Lord,Lord,Skin tone 00,Clan,00,Clan,00,Clan,Lord,Clan,Clan,Clan,Clan
43,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elegance,Scream,Common,Camo Green,Skin tone 01,Common,01,Rare,01,Rare,Aura,Common,Clan,Clan,Clan
44,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Pilot Edition 01,Grimbone,true,Grand Master,Male,Dark Side,Powers,Clan,Dark Umber,Skin tone 02,Clan,01,Clan,02,Clan,Faded,Clan,Clan,Clan,Clan
45,0x27D24ae1579ba2Cd6b03AcdF1f171fF5E33453cf,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Common,Jolt Lime,Skin tone 03,Common,00,Rare,05,Common,Yuletide Up,Clan,Common,Clan,Clan
46,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Female,Scorched Earth,Bagua,Common,Ginger,Skin tone 02,Common,00,Common,00,Uncommon,Blue Blaze,Clan,Common,Common,Common
47,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Tumblers Mule,Finger Gun,Clan,Jolt Lime,Skin tone 03,Rare,01,Clan,02,Common,Sapphire Star,Rare,Common,Rare,Common
48,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Clan,Elegant Green,Skin tone 04,Clan,01,Rare,03,Common,Aura,Clan,Clan,Rare,Common
49,0x91B4D332a34099a87Fa838c16Db72d5d3351abe8,Pilot Edition 01,Grimbone,true,Master,Male,Sun Rise,Powers,Common,Crimson Locks,Skin tone 01,Rare,01,Common,00,Common,Sun Spots,Rare,Common,Rare,Common
50,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Pilot Edition 01,Bubblegum Violence,true,Officer,Male,Mime Burst,Dance,Clan,Sky Green,Skin tone 00,Rare,00,Common,00,Common,Aquamarine Chill,Clan,Common,Clan,Common
51,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Rare,Dust,Skin tone 01,Rare,00,Common,00,Uncommon,Elite,Common,Rare,Common,Rare
52,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Female,Sun Rise,Bagua,Rare,Late Blue,Skin tone 03,Common,01,Rare,03,Common,Blue Blaze,Common,Common,Clan,Common
53,0xd23472bc79156d6F5cc87A95485bDFAcaAD96571,Pilot Edition 01,Emerald Hand,true,Grand Master,Female,Elite Corps,March,Common,Dark Umber,Skin tone 03,Common,00,Common,00,Uncommon,Elite,Common,Rare,Clan,Common
54,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Common,Melon Light,Skin tone 01,Rare,00,Common,00,Clan,Aquamarine Chill,Common,Common,Rare,Rare
55,0xD97d53F1E531B3Ddd0a730c7Bb191d15D41bC1A0,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Clan,Dust,Skin tone 00,Common,00,Common,00,Common,Aura,Rare,Clan,Rare,Common
56,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Mime Burst,Dance,Rare,Melon Light,Skin tone 00,Rare,00,Common,00,Rare,Lolita Jam,Common,Rare,Common,Rare
57,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Dark Side,Powers,Common,Green Means Go,Skin tone 03,Common,01,Rare,05,Common,Faded,Rare,Rare,Rare,Common
58,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Pilot Edition 01,Grimbone,true,Master,Female,Scorched Earth,Bagua,Common,Champagne,Skin tone 04,Rare,01,Common,00,Rare,Hot Orange,Common,Rare,Common,Rare
59,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Rare,Melon Light,Skin tone 02,Common,00,Rare,05,Common,Lolita Jam,Common,Rare,Rare,Common
60,0xB692FDa3496DFD21b491C620B520e74B3a301813,Pilot Edition 01,Emerald Hand,true,Runner,Female,Emerald Palace,March,Rare,Elegant Green,Skin tone 01,Rare,01,Common,00,Rare,Astral,Common,Clan,Common,Clan
61,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elegance,Scream,Rare,Faded Blue,Skin tone 04,Clan,01,Common,00,Common,Elite,Common,Common,Common,Clan
62,0x6Cecc67dc3210a97b503501Ba6b088A71A9De098,Pilot Edition 01,Grimbone,true,Runner,Male,Sun Rise,Powers,Rare,Green Means Go,Skin tone 00,Common,00,Rare,05,Rare,Dusk,Common,Common,Common,Clan
63,0x3ea13704458D9d90957E5c3aeA670c00F9e96E2b,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Common,Bubblegum Chew,Skin tone 00,Common,00,Rare,04,Common,Yuletide Up,Common,Rare,Rare,Common
64,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Sun Rise,Bagua,Common,Ginger,Skin tone 00,Clan,01,Clan,02,Common,Dusk,Common,Common,Common,Rare
65,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Common,Sand X,Skin tone 01,Rare,01,Rare,04,Common,Sapphire Star,Clan,Clan,Rare,Common
66,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Common,Dark Umber,Skin tone 02,Rare,00,Common,00,Rare,Aura,Common,Rare,Rare,Common
67,0xb8f4D105F546CB84B6120F3eC29b8dcdB89927E7,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Rare,Crimson Locks,Skin tone 02,Common,01,Rare,03,Rare,Hot Orange,Common,Clan,Rare,Common
68,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Rare,Noir,Skin tone 03,Common,01,Common,00,Common,Aura,Common,Rare,Clan,Rare
69,0x6B81ea1D1af42f9eFaA40954643Ee0fe2e4532bf,Pilot Edition 01,Bubblegum Violence,true,Lord,Male,Black and Gold,Dance,Lord,Lord,Skin tone 01,Clan,00,Clan,00,Clan,Lord,Clan,Clan,Clan,Clan
70,0x4953fB81d0a1bFf4fb6d204A9A94401F5A77A392,Pilot Edition 01,Emerald Hand,true,Master,Female,Elite Corps,March,Common,Dark Umber,Skin tone 02,Common,01,Common,00,Uncommon,Elite,Common,Clan,Common,Rare
71,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Common,Green Means Go,Skin tone 02,Common,00,Rare,02,Uncommon,Faded,Common,Common,Rare,Common
72,0xc638D2EE569d8b641F73712C42Bb68548FD02df2,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Common,Sky Green,Skin tone 02,Rare,00,Common,00,Common,Aquamarine Chill,Rare,Rare,Common,Clan
73,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Emerald Palace,March,Clan,Dust,Skin tone 03,Rare,01,Rare,03,Common,Elite,Common,Rare,Common,Common
74,0xc8B51ed85f0e66220c372cde67c06D95Dd0b25Df,Pilot Edition 01,Grimbone,true,Adept,Female,Scorched Earth,Bagua,Common,Green Means Go,Skin tone 04,Rare,01,Common,00,Common,Blue Blaze,Clan,Common,Common,Common
75,0x5342712163626F9D7A787E88De68e49e03B3be2e,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Common,Sky Green,Skin tone 02,Rare,00,Rare,00,Uncommon,Aquamarine Chill,Common,Rare,Common,Common
76,0xcDcf42b9aC096592d31c22D2Cb2676a0c09F79BB,Pilot Edition 01,Grimbone,true,Officer,Female,Sun Rise,Bagua,Rare,Green Means Go,Skin tone 00,Clan,01,Common,00,Uncommon,Blue Blaze,Rare,Rare,Common,Rare
77,0xc0eB6e7879e5Bea36C6e17e8798f3aA1Fcb00275,Pilot Edition 01,Emerald Hand,true,Officer,Female,Elegance,March,Rare,Dust,Skin tone 04,Rare,01,Clan,00,Rare,Aura,Common,Common,Common,Clan
78,0xba41a44612a6caC54147A0869AD98B7E5856a362,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Common,Sand X,Skin tone 03,Common,00,Rare,05,Clan,Lolita Jam,Rare,Rare,Common,Common
79,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Pilot Edition 01,Emerald Hand,true,Adept,Female,Emerald Palace,March,Rare,Noir,Skin tone 01,Clan,00,Rare,01,Common,Astral,Rare,Rare,Rare,Common
80,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Pilot Edition 01,Bubblegum Violence,true,Officer,Male,Mime Burst,Dance,Common,Jolt Lime,Skin tone 02,Rare,00,Rare,05,Rare,Yuletide Up,Clan,Common,Common,Rare
81,0xD29BE4885E53BB300a2fdcC6B4793AEb3ef90da2,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Rare,Silver,Skin tone 03,Rare,01,Common,00,Uncommon,Faded,Rare,Common,Rare,Rare
82,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Emerald Palace,Scream,Clan,Dark Umber,Skin tone 01,Common,01,Rare,02,Uncommon,Aura,Common,Clan,Clan,Common
83,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Sun Rise,Powers,Rare,Ginger,Skin tone 01,Common,00,Rare,05,Uncommon,Dusk,Common,Rare,Rare,Rare
84,0xF0986cfc4eE97D1CEBe407FAc99D76E25af8Eb51,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Common,Toxic X,Skin tone 03,Common,01,Common,00,Rare,Lolita Jam,Rare,Rare,Common,Rare
85,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Pilot Edition 01,Bubblegum Violence,true,Lord,Female,Black and Gold,Finger Gun,Lord,Lord,Skin tone 03,Clan,00,Clan,00,Clan,Lord,Clan,Clan,Clan,Clan
86,0x6bFCD0668d481CAfFE0cC4a6c55c51E9D9AA62CC,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elegance,March,Common,Elegant Green,Skin tone 00,Common,01,Rare,03,Common,Gem Stone,Common,Rare,Common,Rare
87,0xc575c0785Cbb24f0B88a804445b060393fa8Ad3E,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Rare,Late Blue,Skin tone 02,Rare,01,Common,00,Uncommon,Blue Blaze,Common,Rare,Rare,Rare
88,0x513f21d8Ff0fbeDdb4684e4B86ab72b804Fffe04,Pilot Edition 01,Emerald Hand,true,Adept,Male,Emerald Palace,Scream,Rare,Faded Blue,Skin tone 01,Common,00,Common,00,Common,Prism,Common,Common,Common,Clan
89,0xfFe77083345Bf3d26113ebF72eAE0c82FD0bCcB0,Pilot Edition 01,Bubblegum Violence,true,Officer,Male,Harlequin Tonic,Dance,Rare,Sand X,Skin tone 00,Rare,00,Rare,00,Rare,Yuletide Up,Rare,Rare,Rare,Rare
90,0x3334e9194947cC7f7e82eA9D80239cedBFAf46D4,Pilot Edition 01,Grimbone,true,Grand Master,Male,Sun Rise,Powers,Common,Ginger,Skin tone 02,Common,00,Rare,00,Rare,Sun Spots,Rare,Rare,Common,Common
91,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Emerald Palace,Scream,Rare,Barren,Skin tone 04,Common,00,Rare,04,Common,Aura,Common,Rare,Common,Common
92,0x0d6d0d6a819A912659398873a694189Fb689cCF4,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Rare,Bubblegum Chew,Skin tone 02,Rare,01,Rare,02,Rare,Lolita Jam,Clan,Common,Common,Common
93,0x1e99439FdDBBcc6763BFB377Ba458E9aa3018678,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Common,Champagne,Skin tone 04,Common,01,Rare,03,Rare,Blue Blaze,Clan,Rare,Common,Common
94,0x20f0cF4e5929d219d3Fa58944f3a867305676E14,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Clan,Melon Light,Skin tone 03,Common,01,Clan,01,Common,Sapphire Star,Common,Common,Clan,Common
95,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Common,Dust,Skin tone 02,Common,01,Rare,05,Rare,Aura,Rare,Rare,Common,Clan
96,0x3E35a9dd3CcF8Ef30Db61045540748A416F4B3ae,Pilot Edition 01,Grimbone,false,,,,,,,,,,,,,,,,,
97,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Common,Noir,Skin tone 03,Common,00,Common,00,Clan,Aura,Rare,Common,Common,Common
98,0x7a474410F836722e95a04B19FE16dBfC41b8C133,Pilot Edition 01,Grimbone,true,Master,Female,Scorched Earth,Bagua,Common,Ginger,Skin tone 01,Common,01,Rare,00,Uncommon,Dusk,Rare,Common,Common,Common
99,0xf02304ED10b0A697B4f502abAA984d04e719CD14,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Clan,Jolt Lime,Skin tone 01,Clan,00,Clan,02,Common,Yuletide Up,Rare,Common,Rare,Rare
100,0x350DC39F5aD19e805465C4f8Eb0D98F61Eba1821,Pilot Edition 01,Grimbone,true,Lord,Male,Black and Gold,Powers,Lord,Lord,Skin tone 02,Clan,00,Clan,00,Clan,Lord,Clan,Clan,Clan,Clan
101,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Clan,Electric Ice,Skin tone 04,Common,01,Clan,00,Common,Yuletide Up,Common,Common,Rare,Rare
102,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Clan,Dark Umber,Skin tone 01,Rare,00,Rare,04,Common,Aura,Common,Common,Rare,Rare
103,0x25e129cb28cb4A826E725a7606fAF296f8c97083,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Common,Void Blue,Skin tone 00,Common,01,Common,00,Rare,Hot Orange,Common,Common,Rare,Clan
104,0x98cc5E5c2A2C2E1e7e1a414dA88a96E1624662A3,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Common,Dust,Skin tone 01,Common,01,Common,00,Common,Aura,Rare,Common,Common,Common
105,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Rare,Sand X,Skin tone 03,Common,01,Rare,03,Common,Aquamarine Chill,Rare,Clan,Common,Common
106,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elegance,March,Clan,Elegant Green,Skin tone 00,Common,01,Common,00,Common,Aura,Common,Common,Rare,Clan
107,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Rare,Ginger,Skin tone 03,Common,00,Common,00,Common,Sun Spots,Clan,Clan,Common,Common
108,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Common,Toxic X,Skin tone 04,Rare,00,Common,00,Common,Aquamarine Chill,Common,Common,Common,Common
109,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Mime Burst,Finger Gun,Rare,Sky Green,Skin tone 01,Clan,01,Rare,05,Common,Yuletide Up,Common,Rare,Clan,Rare
110,0xf90a0dF9c1fAa5bdA6A14189Ad0e65b312426691,Pilot Edition 01,Grimbone,true,Runner,Male,Sun Rise,Powers,Common,Silver,Skin tone 00,Common,01,Common,00,Common,Dusk,Clan,Common,Rare,Common
111,0x100cC859837de35b69fEfaA1C3780Ae0643264d9,Pilot Edition 01,Emerald Hand,true,Adept,Male,Emerald Palace,Scream,Clan,Dust,Skin tone 00,Clan,00,Rare,04,Rare,Elite,Common,Rare,Common,Clan
112,0xEADeD1cE697da822b5e6634FB23984B9630a89d3,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Common,Melon Light,Skin tone 04,Common,00,Rare,01,Uncommon,Yuletide Up,Common,Rare,Common,Rare
113,0x27efD45Aa8cc333222E9080692ed0c6617a608b8,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Rare,Dark Umber,Skin tone 03,Rare,01,Rare,02,Clan,Elite,Common,Common,Rare,Rare
114,0xb039d0830e4277C4d0117Db95B45668158116865,Pilot Edition 01,Grimbone,true,Officer,Male,Sun Rise,Powers,Rare,Green Means Go,Skin tone 04,Common,01,Rare,05,Common,Dusk,Clan,Clan,Common,Common
