Token ID,Owner Address,Attribute egg type,Attribute background,Attribute leaf,Attribute ear,Attribute fur,Attribute mouth,Attribute eye,Attribute hair,Attribute head accessory,Attribute hand accessory,Attribute foreground,Attribute hatched egg,Attribute eyebrows,Attribute face accessory,Attribute eye sparkle,Attribute clothing,Attribute left arm,Attribute right arm,Attribute 1 of 1
31,0x2411B821d9644A7Fd5225331091f18493CA276DC,,Dark Fog,Green,,Light Brown,Passive,Frown,,Bear Head,Purple Brush,,Common,Sus,,,,,,
32,0xD9763A29e2BCFfa9Aab77897f408d7D8E08701A3,,Yellow Sparkles,White,Normal,Heavy Grey,Smile,Bored,,White Egg,Blue Kunai,,Lucky,Sad,,,White Egg,,,
33,0xD9763A29e2BCFfa9Aab77897f408d7D8E08701A3,,Blue,Yellow,Excited,Light Brown,Teeth Smile,Determined,Brown,,,,Common,,,Sparkles,Denim Vest,,,
34,0x78E61573558cE48CA6Fe48ffE3A199281436149D,,Yellow,Yellow,,Light Dark,Surprised,Determined,Dark,,,,Lucky,,,Dot,Green Sleeveless,,Peace Sign,
35,0x935E21186a62fa0940b688606f5298E383ea226C,,Dark Fog,Rainbow,Normal,Rainbow,Sad,Bored,Rainbow,Black Head Band,,,Common,,,,Green Overalls,,Peace Sign,
36,0x935E21186a62fa0940b688606f5298E383ea226C,,Grey,Purple,Sad,Light Moca,Surprised,Round,Moca,Tomato Head,Onigiri,Light Snow,Common,Surprised,Eye Bags,Heart,,Finger,,
37,0x971487d0fa3DecfAC10F73417c595fCC2BcB7033,,Light Green,Blue,Sad,Light Grey,Sad,Bored,Grey,Blue Headband,Jingu Bang,,Lucky,Surprised,Cucumber,,Red Thin Scarf,,,
38,0x2e15Ee8a2Ad2444bE7946322083680eBa8af904d,,Light Grey,Green,,Light Dark,Gasp,Bored,Dark,,Black Sensu,Light Streaks,Common,Sus,Blush,,Ratz Onesie,,,
39,0x4E1300ad499FB173e337efc4E6F6E3CfB8E8867E,,Light Blue,Red,Sad,Light Moca,Smile,Round,Moca,,Black Katana,,Common,Sad,,Watery,Yellow Duck Floatie,,,
40,0xFDF9159340b323345e0eF90E7c065cf0f313150f,,Teal,Blue,Normal,Light Grey,Hmph,Round,Grey,Blue Headband,Bubble Tea,Talisman,Common,Sad,,Big Sparkles,Purple Hoodie,,,
41,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,,Yellow,Pink,Normal,Light Brown,Passive,Relaxed,Brown,Banana Hat,,Particles,Common,,,,Yellow Blanket,,,
42,0x2b823bb194FFFDb8010397cF7E9F036739660711,,Shadow Blue,Shadow,Normal,Shadow,Passive,Happy,,,,,Lucky,,,,Ninja,,,
43,0xc94Ce76de52048a88ce0142F83341545eFC0E9Fc,,Yellow,Green,Normal,Light Grey,Yell,Frown,Grey,Sparkle Cap,Sausage,,Common,,,,Pink Top,,,
44,0x523723D09bc07cbc3b1011A4055E4f8Cc3A28a82,,Grey Sparkles,Teal,Normal,Heavy Grey,Yell,Frown,Grey,Mom Cap,Big Stick,,Common,Surprised,,,Green Overalls,,,
45,0xCd58E99541c4cdf0C221CEa7a03cf50bbA4126db,,Grey,Red,Tired,Light Grey,Hmph,Happy,Grey,Straw Hat,,,Common,,Blush,,,,Finger,
46,0xd3B7d2fc9b5055CF1409F8E14380119CE57764ad,,Grey,Pink,Tired,Light Brown,Teeth Smile,Happy,Brown,,,,Common,,,,Blue Bowtie,,Finger,
47,0x5Eb183c524Ac918757Cbd10733A12fc6bb9514F3,,Light Blue,Gold,Sad,Gold,Teeth Smile,Frown,Gold,Towel,Toilet Paper,,Lucky,Sad,Eye Bags,,Towel,,Finger,
48,0x16158C0278CCB63811F2546c2b90475551d031Ff,,Purple,Rainbow,Normal,Rainbow,Sad,Frown,Rainbow,Blue Headband,,,Lucky,,,,,,Finger,
49,0x1e4a7e0889318aF3B6103bFf265037cb017ccB28,,Light Yellow,Onyx,Excited,Heavy Grey,Chubby,Round,Grey,,,,Common,Angry,,Watery,,,Peace Sign,
50,0xc5599b0A5f66eA5bec87649E08B402a0Ac88c893,,Yellow,Onyx,Sad,Light Grey,Teeth Smile,Crying,Grey,Pink Beret,Bronze coin,,Lucky,,,Watery,Kappa Bag,Finger,,
51,0x08D831F34876a2177EFD9d7C3c99598168d66566,,Purple,Purple,Sad,Light Yellow,Scared,Round,Yellow,Sparkle Cap,Palette,,Common,,,Heart,Hula Lei,,,
52,0x582D44084fD8c6440D0c34B58DE9fF91eD497EF9,,Dark Blue,Green,Normal,Light Moca,Yell,Spaced out,Moca,,,Heavy Snow,Common,Sad,Black Aviator,,Green Overalls,,,
53,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,,Blue,Purple,Normal,Heavy Brown,Tongue out,Excited,Brown,Pink Beret,Fried Chicken,,Lucky,Sad,Runny Nose,,Kappa Bag,,,
54,0xD211bf25199472bd9431664a89dA7e80539483e5,,Shadow Purple,Shadow,Normal,Shadow,Tongue out,Round,,Gold Headband,,,Divine,Bushy,,Sparkles,,,,
55,0x58aB37e32873184040bA3a04D093E47F3012DBD6,,Grey Sparkles,Yellow,Excited,Light Dark,Hmph,Round,Dark,Pink Headband,,Light Snow,Lucky,,Blush,Big Sparkles,,,Finger,
56,0x7D022C6E6C9ee2116AA675CECd960b3E8Ae376F8,,Light Grey,Rainbow,Normal,Rainbow,Devious,Bored,Rainbow,,,,Divine,Angry,Bubblegum Round Glasses,,White Bunny Bag,,,
57,0x91b74D32f18Ef73cAeA354aaE295C7c5b479A39D,,Red,Green,Normal,Light Brown,Open Smile,Bored,,,Pink Teacup,,Lucky,Bushy,,,Blue Kimono,,,
58,0x4b1444D211f7Ab309dAC5213CEA7f1f270C70b7E,,Yellow,Pink,Sad,Heavy Grey,Smile,Bored,Grey,Maid Headband,Silver Coin,,Lucky,,Teeth,,Maid Apron,,,
59,0x0ADcd009A171AF361b14F3BF05172877134B462E,,Blue,Green,Normal,Light Grey,Passive,Excited,Grey,Pirate Bandana,Bat,Spirits,Common,,,,,,,
60,0xd1d770ccF78071438430D17F8aa37BBFf4582DDD,,Green,Teal,Tired,Light Yellow,Open Smile,Happy,Yellow,Blue Kanzashi,,,Common,,,,Blue Bandana,,,
61,0x52971D51e53e1E5C2e586e9AbC3125B4DF786377,,Grey Sparkles,Blue,Normal,Light Brown,Scared,Bored,Brown,Pastel Bucket Hat,Chef Knife,Light Snow,Lucky,Pointy,,,,,,
62,0x82eb93B6B1f2b6320cc34e7C14211319C7010d3f,,Shadow Blue,Shadow,Normal,Shadow,Devious,Determined,,Golden Chocolate,,,Divine,,,Sparkles,,,Finger,
63,0x1c4E23b1C1361b9bdc33100D51f4fEA89f75Cbb7,,Dark Grey,Green,Excited,Heavy Grey,Teeth Smile,Determined,Grey,,Matcha Boba,Spirits,Lucky,,,Dot,,,,
64,0x7AE87370409705b235797F3874b4998c0A79F8e6,,Light Blue,Rainbow,Normal,Rainbow,Chubby,Frown,Rainbow,Banana Peel,Red Katana,,Lucky,,Cucumber,,Teal Hoodie,,,
65,0xFBE245787d1840EA23E836789a47C08511205954,,Blue,Green,Sad,Light Brown,Teeth Smile,Frown,Brown,Ice Pack,Gold Beetle,,Lucky,Sus,,,Kappa Bag,,Peace Sign,
66,0xA24e519BA0c5b25ECDc064635Cb6C61712f29adA,,FL Arena,Green,Normal,Heavy Dark,Teeth Smile,Tired,,Brown Egg,,,Lucky,,,,Brown Egg,,,
67,0xb83b1A1Dc02a5c196Ca39687b7f99CDEeD9AEA4c,,Grey,Red,Sad,Light Dark,Passive,Bored,Dark,,Toilet Paper,Light Streaks,Lucky,,Eye Bags,,,,Peace Sign,
68,0xF8EF80BAA0D63E75099Df583E5F4763Ae8531471,,Light Pink,Green,Excited,Light Moca,Tongue out,Determined,Moca,Chocolate,Taiyaki,,Common,,,Dot,,,,
69,0x174acfB67f37B6E4272d72310FBf55689cF909dF,,Purple,Red,Normal,Heavy Brown,Scared,Bored,Brown,Pirate Bandana,Lattern,Rain,Common,Sus,,,,,,
70,0x73889944ffb03FEAA37f7feDda50211f327760aE,,Pink,Blue,Normal,Heavy Brown,Surprised,Round,Brown,Tie Dye Headband,Purple Cyberpunk Katana,,Common,Angry,Blue Pacifier,Big Sparkles,,,,
71,0xF729A1d1526E78cDbDE11BEB345568b2F255c8d0,,Yellow,Blue,Normal,Light Moca,Sad,Tired,,Pink Bunny Headband,Lattern,Sakura,Common,Bushy,,,,,,
72,0x98fdDd5bAd34cd3009a6092D3d4f2F029de8ABbc,,Light Blue,Pink,Sad,Light Yellow,Tongue out,Determined,,Brown Egg,Regular Milk,,Common,,Blush,Sparkles,Brown Egg,,,
73,0xB5C6cc246FB253d338722931c7b058A222574231,,Shadow Purple,Shadow,Normal,Shadow,Sad,Round,,Halo,Mushroom,,Divine,Angry,,Watery,,,,
74,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Divine,,,,,,,,,,,,,,,,,,
75,0x0ee153F72E008D654b3a556e7F99F6eFfFE7cBeB,,Dark Blue,Rainbow,Normal,Rainbow,Hmph,Determined,Rainbow,Ice Pack,Pencil,,Divine,,Blush,Dot,Blue Overalls,,,
76,0x4fDBf074c74a359FC3f8090Ab102970C72680835,,Teal,Onyx,Sad,Light Grey,Scared,Frown,Grey,,,Rain,Lucky,Bushy,Eye Bags,,,,Peace Sign,
77,0x798504E342be52AB34dE1c2FC0b26E6a254D4f18,,Grey Sparkles,Blue,Tired,Heavy Moca,Hmph,Bored,Moca,Pink Headband,Bubblegum Violence Plushie,,Common,Surprised,,,,,,
78,0x46571200388f6DCE5416E552e28caa7A6833c88e,,Red,Teal,Sad,Heavy Dark,Surprised,Crying,Dark,Tan Explorer Hat,Steamed Bun,,Common,,Scar,Watery,Denim Vest,Finger,,
79,0xF4143231981b124a92b7A68237260f579F671eEC,,Yellow Sparkles,Green,Excited,Light Brown,Teeth Smile,Determined,Brown,Large Straw Hat,,Heavy Snow,Common,,,Dot,Straw Kimono,,,
80,0x87f6C4b45f6f843920215a326E64f4f7c36a9eb4,,Shadow Blue,Shadow,Normal,Shadow,Hmph,Tired,,,,Talisman,Divine,Sus,,,,,,
81,0x6Ce4B2A3891E196eb7d2e33ed5B31c79502598B3,,Grey,Green,Sad,Light Grey,Chubby,Happy,,White Bunny Headband,Vanilla M9,Particles,Common,,Battle Paint,,Teal Hoodie,,,
82,0x87bEA6fF958A3CC1AD75a5e93f7ff8F6d6119f95,,Light Yellow,Rainbow,Normal,Rainbow,Surprised,Determined,Rainbow,Shiny Blue Glasses,,,Common,,,Dot,,,Finger,
83,0x7a1BE4fEE93af5a38fA2D233f5B4296e5EAa7AEf,,Yellow Sparkles,Green,Normal,Heavy Grey,Chubby,Frown,Grey,,Purple Brush,,Common,Sad,Blue Pacifier,,Teal Hoodie,,,
84,0x9ec242689d99C542872dE5FBde5432969F531cCa,,Teal Sparkles,Rainbow,Normal,Rainbow,Hmph,Tired,Rainbow,Blue Headband,Brush and Palette,Heavy Snow,Common,,Clown Paint,,Purple Hoodie,,,
85,0xD7bd216B527bACa5d8eD8e0A8beD3b686FaFc5C0,,Yellow,Purple,Normal,Heavy Brown,Scared,Shocked,Brown,,Water,,Lucky,,,,Ninja,,,
86,0x29e6955461E1B7d4146583e75FcA3E4e9b4f16f1,,Gallery Blue,Purple,,Light Dark,Teeth Smile,Round,,Bear Head,Baguette,,Common,Angry,Eye Bags,Big Sparkles,,,,
87,0xC45BA6bA16cd040FCE0CacE61a2F2F9E51695360,,Nature,Red,Excited,Light Brown,Disgust,Determined,Brown,,,Rain,Common,,,Sparkles,Blue Blanket,,,
88,0xD3016e22Fb54193fDcF5c1211Ff68A751C627857,Common,,,,,,,,,,,,,,,,,,
89,0xda967cd5F75aa25ec5529aE4c18B6a0EBaBfbaBe,,Purple,Red,Tired,Light Yellow,Sad,Excited,Yellow,,Daruma,,Common,Sad,,,,,,
90,0xA24a0acfc51bB345EAb18b89cd63D9555A13Ef8d,,Pink,Red,Normal,Light Brown,Scared,Crying,Brown,Blue Chef Wrap,Palette,,Common,,,Heart,Purple Hoodie,,,
91,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,,Light Yellow,Rainbow,Normal,Rainbow,Tongue out,Frown,Rainbow,White Chef Wrap,,,Divine,Bushy,Scar,,Blue Overalls,,,
92,0xF2EEd76AbcAf1835b2C00f169c69Ee1C8CF840C8,,Dark Grey,Purple,Tired,Heavy Dark,Disgust,Determined,Dark,Kitsune Mask,Ratz Ballz,,Lucky,,Blush,Sparkles,Teal Hoodie,,,
93,0x934260c7A5BA1ACE6c3C64103F819920816981B9,,Teal Sparkles,Green,Excited,Light Moca,Passive,Round,Moca,Pink Kanzashi,Coffee,,Common,,Blush,Dot,,,,
94,0x5d29687C4C0898e61A8b4aa57534935f1646912D,,Red,Green,Normal,Heavy Brown,Gasp,Tired,,,Capirinha,,Common,,Battle Paint,,Blue Kimono,,,
95,0x98b088d3E71296c318B64B557e391b7734FB938e,,Spirit Aqua,Spirit,Normal,Spirit,Smile,Round,,,Gold Katana,Rain,Divine,Surprised,,Sparkles,Rainbow Kimono,,,
96,0xf990c04A6b5B05ef6a4cCFB37F22A38d1A97c968,,Grey,Teal,Normal,Heavy Grey,Tongue out,Determined,,,Blue Wagasa,,Lucky,,,Dot,Blue Duck Floatie,,,
97,0x570ad64C4c01fB4EA23929C97c0eF2b82673310B,,Teal,Teal,Normal,Light Brown,Smile,Frown,Brown,Red Hat,Rootbeer,,Common,,,,Teal Hoodie,,,
98,0x4d1a614d977E3d1c934E6cC2Fb46Da311011Ec6a,,Light Grey,Red,Tired,Light Brown,Disgust,Determined,Brown,,,Light Snow,Common,,,Sparkles,Teal Hoodie,,,
99,0x02836137a7Dd87461f02d3EB39a74990f589f59c,,Light Grey,Blue,Excited,Light Dark,Scared,Frown,Dark,Blue Chef Wrap,Daruma,,Common,Angry,,,,,,
100,0x6EDA6Aef3e9e22Ac2CF917de6Cec97f98d52D585,,Grey Sparkles,Red,Excited,Light Grey,Teeth Smile,Crying,Grey,Chocolate,Tomato,,Common,Bushy,Pink Pacifier,Sparkles,,Finger,,
101,0x47Da8C035cE64F267902A5c469E9b640E9bBcc14,,Light Green,Green,Excited,Heavy Grey,Smile,Determined,Grey,Apple Beret,Banana Milk,,Lucky,,,Sparkles,Red Bandana,,,
102,0xd60ed5bc318F39E9042b2B1f3543c0f5cf3FbC8B,,Yellow,Rainbow,Normal,Rainbow,Chubby,Determined,Rainbow,Eggshell,Toilet Plunger,,Divine,,,Sparkles,,,,
103,0xe7b9beCc8E1A2D73CAd382Eb8dbA8A9B7017D5Cb,,Dark Blue,Blue,Tired,Light Dark,Open Smile,Tired,Dark,Blue Nightcap,Ketchup Knife,Particles,Common,,,,Jersey,,,
104,0x7F353DD0c3BA44c061FdD564be9D5b1B484E0945,,Dark Green,Red,Normal,Light Brown,Tongue out,Crying,Brown,Blue Snapback,Orange Rose,,Lucky,Angry,,Big Sparkles,Red Bandana,,,
105,0xB4d5b57d9C5BE38067BBa2573748B689A7EBa7cA,,Teal Sparkles,Green,Sad,Light Moca,Hmph,Round,Moca,Red Headband,Purple Cyberpunk Katana,,Common,Pointy,,Watery,Blue Kimono,,,
106,0x598e8bDe9D7A8d04d8bd265148bC0fc09220b8E2,,Blue,White,Excited,Light Yellow,Teeth Smile,Determined,Yellow,,Toilet Paper,,Common,,Bandaid,Sparkles,Purple Hoodie,,,
107,0x848542d84E483E30A1b26714518EDBd4d28A1aE1,,Red,Pink,Normal,Heavy Brown,Surprised,Frown,Brown,,Coffee,Light Snow,Common,Sad,,,Blue Bunny Bag,,,
108,0xC3b9872d6Cd92FB72c473c42Db28309536bD15a9,,Green,Pink,,Light Moca,Passive,Crying,Moca,,Baguette,,Common,Bushy,Monocle,Big Sparkles,Purple Sleeveless,Finger,,
109,0x4Bcfe77d4D870BE297ADd2ec422903e139485aB4,,Green,Green,Excited,Light Grey,Surprised,Determined,Grey,Pink Kanzashi,,Sakura,Common,,,Dot,Teal Hoodie,,,
110,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,,Red,Yellow,Excited,Light Moca,Scared,Round,Moca,Large Straw Hat,,,Common,Angry,,Watery,Straw Kimono,,,
111,0x7326AC78B9Ce04827F5445D2c551EE13594Cf0F3,,Light Pink,Teal,Normal,Heavy Moca,Teeth Smile,Frown,Moca,,Vanilla M9,,Lucky,Sus,Eye Bags,,Daimyo Kimono With Katanas,,,
112,0x94863B011C9b619263469A90ed8D4a4231fF5FFF,,Pink,Red,Excited,Heavy Moca,Teeth Smile,Bored,,Blue Bunny Headband,Fried Chicken,Fog,Common,Angry,,,Yellow Duck Floatie,,,
113,0x46ad48776f8cF25c545BDB559f3D5d001172Ca4b,,Ronin Moon,Purple,Tired,Light Moca,Gasp,Bored,Moca,Blue Nightcap,Green Beetle,,Common,Angry,,,,,,
114,0x9F56CAb8Fe6fBB38C80DEE6BDe1aECceFcDb2fF6,,Blue,Green,Excited,Light Grey,Devious,Frown,Grey,Duck Bucket Hat,,Spirits,Common,,Eye Bags,,Yellow Blanket,,,
115,0xCac3d7DDc8948c18B7F64f7a1273D472624bb008,,Red,Yellow,Normal,Light Moca,Hmph,Relaxed,Moca,Blue Kanzashi,Fishbone,,Common,,,,,,,
116,0x570ad64C4c01fB4EA23929C97c0eF2b82673310B,,Purple,Green,Normal,Light Brown,Teeth Smile,Tired,Brown,Blue Snapback,,,Common,Sus,,,Blue Kimono,,,
117,0x4C2B1bda0Ce7D56f131BE0C3F487C5c0062D21F8,,Dark Green,Teal,Normal,Light Brown,Disgust,Bored,Brown,Ice Pack,,,Common,Pointy,,,Kappa Bag,,,
118,0x883a8E1bb9DEC1eE7675d905E974CaAFAaE1f81B,,Red,Red,Sad,Light Dark,Yell,Round,Dark,Black Head Band,Taiyaki,,Common,,Blush,Sparkles,,,,
119,0x7Aa63FaDc2277E91aa9F2890E0A3F644354987C0,,Yellow Sparkles,Green,Normal,Light Brown,Smile,Frown,Brown,,,Talisman,Lucky,Sad,,,Ninja Shirt,,,
120,0x53872808b579353f644B668dBA65395ED21FF8De,,Purple Sparkles,Yellow,Tired,Light Moca,Scared,Mavis,Moca,Blue Headband,Ratz Ballz,,Common,,,,Kappa Bag,,,
121,0xAF85C890fB766C3f2226C519c4B382cD87C93cac,,Colorful Grid,Blue,Excited,Heavy Yellow,Drool,Excited,Yellow,Tan Explorer Hat,Halo Halo,Particles,Common,Angry,,,Pink Bag,,,
122,0x0C2f5a5931a9Cd50C9D22832bD5748A6FEe5F849,,Grey Sparkles,Green,Normal,Light Brown,Hmph,Happy,Brown,Pirate Bandana,Onigiri,Light Snow,Common,,,,Red Bowtie,,,
123,0x043062AF18Dc8320408C0fB7C876CD67F87EF142,,Dark Green,Onyx,Excited,Light Moca,Disgust,Tired,Moca,,Rootbeer,,Common,,Scar,,,Finger,,
124,0xAa9Ba8433b649B4946DB9B5d6212b68486A873A2,,Dark Grey,Purple,Normal,Light Yellow,Scared,Bored,Yellow,Shiny Blue Glasses,,,Common,Sus,,Dot,Purple Hoodie,,,
125,0xbc3BdfE7863c0bfd887c22a0CcfB53E8BC9B87B1,,Light Grey,White,Sad,Light Grey,Yell,Relaxed,Grey,,Red Rose,,Common,,,,Teal Thin Scarf,,,
126,0xAa57a3b5e30B0e0CD400AA22C0cBffa6ED484F10,,Blue,Onyx,Excited,Light Yellow,Drool,Crying,Yellow,,Fried Chicken,Light Streaks,Common,,,Sparkles,Vest,Finger,,
127,0x38542d62C03c782eD351373dC6B141F542f4e036,,Teal Sparkles,Green,Excited,Light Brown,Scared,Bored,Brown,Moki Cap,Gacha Ballz,Fog,Lucky,,,,,,,
128,0x712C78fAAe3e97d43D106739CD2B057596CF4401,,Teal Sparkles,Red,Excited,Light Brown,Gasp,Bored,Brown,Red Hat,,Anime Zoom,Lucky,,Blush,,Blue Bandana,,,
129,0xE72b62F271e97D5812F05ea044c7D84C39A33da7,,Dark Blue,Green,Normal,Light Brown,Drool,Determined,Brown,Shiny Blue Glasses,Regular Milk,,Common,,,Sparkles,Jiangshi,,,
130,0xfcd625e08Ed35eBA028649245A6c8Cc064Db34C1,,Blue,Green,,Heavy Dark,Teeth Smile,Frown,Dark,,Red Katana,Anime Zoom,Common,Sus,,,Pig Onesie,,,
131,0x75c627393fbf3E8BAC52ec6328821FbCCe918226,,Teal,Yellow,Excited,Light Moca,Passive,Round,Moca,,Red Kunai,,Common,,Bandaid,Sparkles,,Finger,,
132,0x128D6E1e3871922164d74491ECF600Ffe2372f4D,,Dark Grey,Yellow,Tired,Light Dark,Sad,Crying,Dark,Towel,Blue Wagasa,,Common,Angry,,Heart,Towel,,,
133,0xCb2d96A003BEb632AE2A1578bb55c97cD7894D62,,Purple Sparkles,Gold,Normal,Gold,Teeth Smile,Determined,Goddess Hair,,,Talisman,Divine,,,Sparkles,Red Bandana,,,
134,0x65314EEb6E7EDaB42d1017CBE59d0DfBc313aA0d,,Pink,Blue,Tired,Light Brown,Gasp,Determined,Brown,Pastel Bucket Hat,,,Common,,,Sparkles,Yellow Blanket,,,
135,0xAbdbE7908B9C9055791c7e5cf2ead87FCd3d82Fb,,Yellow Sparkles,Green,Excited,Light Moca,Yell,Crying,Moca,,,,Lucky,Sad,,Heart,Samurai,,,
